Solvent,Letter,Note
DMA,A,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.
HMPA,A,"Group A: Complete dissociation of HClO4, pKa(chloroacetic acid)=8.0. "
NMP,A,"Group A: pKa(HClO4)=4.5, pKa(HPic)=11.0. "
NMP,A,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33, 
[pKa(benzoic acid)=13.3)"
NMP,B,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3"
NMP,C,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)"
nitromethane,A,"Group A: pKa(1,3-diphenylguanidine)=17.2. "
nitromethane,B,"Group B: pKa(1,3-diphenylguanidine)=14.5. "
nitromethane,B1,"Group B1: pKa(1,3-diphenylguanidine)=18.1"
nitromethane,C,Group C: pKa(HPic)=7.94 (see *1c). 
nitromethane,D,Group D: pKa(HPic)=7.67. 
sulfolane,A,"Group A: pKa(HPic)=17.4, pKa(benzoic acid)=26.3. "
